"DayOfWeek","mean_ride_duration","sd_ride_duration"
1,29.3915380662009,2272.51295991045
2,29.3878276604692,1907.91065509994
3,29.3218961416795,1599.1915249284
4,29.35862620649,1493.21134305323
5,29.3524385960614,1651.99855046919
6,29.3511428438244,1841.69192768007
7,29.3617487912069,2257.26697761233
